country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
Japan,2017,Gold,Import,1752205,1111.217,0.468
Kazakhstan,2017,Gold,Import,16344,13.594,7.429
Rep. of Korea,2017,Gold,Import,12,0.003,
Luxembourg,2017,Gold,Import,110680,36.394,2.111
Luxembourg,2017,Gold,Import,2237,,2.111
"China, Macao SAR",2017,Gold,Import,9545,3.073,1.227
Mauritius,2017,Gold,Import,644,0.12,3.675
Morocco,2017,Gold,Import,1153,0.637,0.754
Mozambique,2017,Gold,Import,11344,10.588,15.113
Netherlands,2017,Gold,Import,7174525,3791.171,1.299
Netherlands,2017,Gold,Import,5,,1.299
Netherlands,2017,Gold,Import,114836,0.002,1.299
Netherlands,2017,Gold,Import,55915,0.001,1.299
Norway,2017,Gold,Import,763820,597.67,1.875
Poland,2017,Gold,Import,20833,19.072,1.975
Guinea-Bissau,2017,Gold,Import,11934,7.907,1.058
Timor-Leste,2017,Gold,Import,8769,3.47,0.52
Sao Tome and Principe,2017,Gold,Import,9847,6.294,
Serbia,2017,Gold,Import,32919,35.64,3.131
Seychelles,2017,Gold,Import,1093,0.969,2.859
Slovenia,2017,Gold,Import,2952,3.6,1.432
Spain,2017,Gold,Import,3027797,4040.865,1.956
Spain,2017,Gold,Import,8779784,0.203,1.956
Spain,2017,Gold,Import,66668998,1.794,1.956
Switzerland,2017,Gold,Import,657055,463.963,0.534
Switzerland,2017,Gold,Import,1641844,0.041,0.534
Switzerland,2017,Gold,Import,979074,0.023,0.534
United Kingdom,2017,Gold,Import,1806450,2458.234,2.683
United Kingdom,2017,Gold,Import,146970,0.004,2.683
USA,2017,Gold,Import,967314,533.855,
United Kingdom,2017,Gold,Import,225008,0.005,2.683
Greece,2017,Gold,Import,2207,0.001,1.138
Norway,2017,Gold,Import,12966,0.001,1.875
India,2017,Gold,Import,83444,0.002,3.602
Sweden,2017,Gold,Import,4102,,1.867
Switzerland,2017,Gold,Import,2100627,0.05,0.534
Austria,2017,Gold,Import,186361,36.597,2.23
Austria,2017,Gold,Import,2051991,0.049,2.23
Austria,2017,Gold,Import,908214,0.028,2.23
Belgium,2017,Gold,Import,42204,20.898,2.224
Belgium,2017,Gold,Import,965363,0.023,2.224
Bulgaria,2017,Gold,Import,122265,22.365,1.188
Cyprus,2017,Gold,Import,182,0.092,0.681
Czechia,2017,Gold,Import,15306,40.52,2.451
Denmark,2017,Gold,Import,731,0.002,1.058
Denmark,2017,Gold,Import,336,0.001,1.058
France,2017,Gold,Import,1146068,228.396,1.163
France,2017,Gold,Import,453500,0.018,1.163
Germany,2017,Gold,Import,622164,89.539,1.711
Germany,2017,Gold,Import,11157970,0.402,1.711
Germany,2017,Gold,Import,206277,0.012,1.711
Greece,2017,Gold,Import,656,0.098,1.138
Hungary,2017,Gold,Import,89438,72.826,2.408
Hungary,2017,Gold,Import,29655,0.002,2.408
Italy,2017,Gold,Import,9376089,2013.901,1.326
Italy,2017,Gold,Import,9109,,1.326
Italy,2017,Gold,Import,18896632,0.664,1.326
Italy,2017,Gold,Import,9967261,0.28,1.326
Japan,2017,Gold,Import,145920,10.504,0.468
Jordan,2017,Gold,Import,2094,0.8,3.324
Lebanon,2017,Gold,Import,5426,2.8,4.476
Rep. of Moldova,2017,Gold,Import,824,0.507,
Netherlands,2017,Gold,Import,31528,10.094,1.299
Netherlands,2017,Gold,Import,1461,0.001,1.299
Netherlands,2017,Gold,Import,3597,,1.299
Netherlands,2017,Gold,Import,7724,,1.299
Portugal,2017,Gold,Import,162381,25.92,1.556
Serbia,2017,Gold,Import,32482,23.902,3.131
Slovenia,2017,Gold,Import,269203,51.719,1.432
Spain,2017,Gold,Import,1710369,406.607,1.956
Switzerland,2017,Gold,Import,506804,59.731,0.534
Switzerland,2017,Gold,Import,21773029,0.879,0.534
TÃ¼rkiye,2017,Gold,Import,32560129,1.136,
United Kingdom,2017,Gold,Import,11095,6.78,2.683
USA,2017,Gold,Import,12284,1.12,
Andorra,2017,Gold,Import,463,0.084,
Azerbaijan,2017,Gold,Import,3739,1.914,12.844
Armenia,2017,Gold,Import,2739,2.108,1.031
Armenia,2017,Gold,Import,1001330,0.019,1.031
Armenia,2017,Gold,Import,21201,0.004,1.031
Bulgaria,2017,Gold,Import,128991,29.352,1.188
Belarus,2017,Gold,Import,123806,153.725,6.032
Belarus,2017,Gold,Import,3145,0.003,6.032
Belarus,2017,Gold,Import,58855,0.001,6.032
Canada,2017,Gold,Import,1520,0.837,1.603
China,2017,Gold,Import,86497632,2.34,1.558
Czechia,2017,Gold,Import,19177,14.81,2.451
France,2017,Gold,Import,119282,71.009,1.163
Georgia,2017,Gold,Import,3314,2.968,6.035
Germany,2017,Gold,Import,217738,63.362,1.711
Germany,2017,Gold,Import,4778,,1.711
Germany,2017,Gold,Import,3558,,1.711
"China, Hong Kong SAR",2017,Gold,Import,856,0.175,1.481
"China, Hong Kong SAR",2017,Gold,Import,53351,0.001,1.481
Hungary,2017,Gold,Import,17226,15.47,2.408
Israel,2017,Gold,Import,81582,19.568,0.242
Italy,2017,Gold,Import,594719,187.921,1.326
Italy,2017,Gold,Import,144943050,3.625,1.326
Japan,2017,Gold,Import,8870,5.54,0.468
Kazakhstan,2017,Gold,Import,413488,222.797,7.429
Kazakhstan,2017,Gold,Import,28613330,0.701,7.429
Kazakhstan,2017,Gold,Import,71758,0.002,7.429
Rep. of Korea,2017,Gold,Import,3692,1.67,
Kyrgyzstan,2017,Gold,Import,43149,21.772,3.175
Lithuania,2017,Gold,Import,1020838,553.562,3.718
Luxembourg,2017,Gold,Import,12909,1.465,2.111
Mongolia,2017,Gold,Import,570,0.539,4.623
Rep. of Moldova,2017,Gold,Import,6391,1.21,
Rep. of Moldova,2017,Gold,Import,2890,,
Norway,2017,Gold,Import,4002,0.2,1.875
Poland,2017,Gold,Import,540362,257.81,1.975
Poland,2017,Gold,Import,455255,0.011,1.975
Poland,2017,Gold,Import,455255,0.011,1.975
Romania,2017,Gold,Import,117769,24.785,1.344
Serbia,2017,Gold,Import,300407,88.979,3.131
India,2017,Gold,Import,25918852,0.636,3.602
Slovenia,2017,Gold,Import,69350,7.876,1.432
Spain,2017,Gold,Import,145995,57.067,1.956
Switzerland,2017,Gold,Import,284223,44.329,0.534
Switzerland,2017,Gold,Import,1089597626,26.684,0.534
Tajikistan,2017,Gold,Import,3817,2.738,7.31
United Arab Emirates,2017,Gold,Import,64622687,1.631,1.967
TÃ¼rkiye,2017,Gold,Import,77149884,1.373,
Ukraine,2017,Gold,Import,120843,64.087,14.443
Ukraine,2017,Gold,Import,47587,0.002,14.443
United Kingdom,2017,Gold,Import,1081297032,25.946,2.683
United Kingdom,2017,Gold,Import,1229970747,29.917,2.683
USA,2017,Gold,Import,55705,13.506,
USA,2017,Gold,Import,668,,
Uzbekistan,2017,Gold,Import,2702,1.891,13.876
Uzbekistan,2017,Gold,Import,21270,0.005,13.876
Canada,2017,Gold,Import,4368,,1.603
Italy,2017,Gold,Import,335103,0.01,1.326
Belarus,2017,Gold,Import,1941300,2490.57,6.032
Sri Lanka,2017,Gold,Import,4379,,6.581
France,2017,Gold,Import,600,0.001,1.163
Indonesia,2017,Gold,Import,18489416,0.505,3.809
Jordan,2017,Gold,Import,354325,153.158,3.324
Malaysia,2017,Gold,Import,2036,4.364,3.799
Switzerland,2017,Gold,Import,230315456,7.623,0.534
TÃ¼rkiye,2017,Gold,Import,4332209,0.11,
Belgium,2017,Gold,Import,1,,2.224
Italy,2017,Gold,Import,850288,293.33,1.326
Italy,2017,Gold,Import,4391260,0.133,1.326
Italy,2017,Gold,Import,640041,0.018,1.326
Spain,2017,Gold,Import,892,0.08,1.956
Spain,2017,Gold,Import,18698,0.001,1.956
Switzerland,2017,Gold,Import,277019289,7.443,0.534
TÃ¼rkiye,2017,Gold,Import,235899,0.007,
Albania,2017,Gold,Import,586,0.34,1.987
Algeria,2017,Gold,Import,4809,4.8,5.591
Australia,2017,Gold,Import,83,0.03,1.972
Austria,2017,Gold,Import,66244,80.354,2.23
Armenia,2017,Gold,Import,1510,0.924,1.031
Belgium,2017,Gold,Import,1770246,2171.616,2.224
Bosnia Herzegovina,2017,Gold,Import,115744,119.078,0.81
Bulgaria,2017,Gold,Import,187028,144.621,1.188
Belarus,2017,Gold,Import,473500,670.2,6.032
Chile,2017,Gold,Import,1613,2.4,2.183
Croatia,2017,Gold,Import,715472,940.637,1.129
Cyprus,2017,Gold,Import,3753,4.8,0.681
Czechia,2017,Gold,Import,348667,416.716,2.451
France,2017,Gold,Import,437475,464.558,1.163
Germany,2017,Gold,Import,4531593,5358.754,1.711
Greece,2017,Gold,Import,16379,21.893,1.138
Hungary,2017,Gold,Import,953552,1654.803,2.408
Israel,2017,Gold,Import,3,0.005,0.242
Italy,2017,Gold,Import,1459004,326.843,1.326
Italy,2017,Gold,Import,2343622,0.057,1.326
Italy,2017,Gold,Import,2332675,0.091,1.326
Japan,2017,Gold,Import,12942,2.369,0.468
Kazakhstan,2017,Gold,Import,8604,,7.429
Malta,2017,Gold,Import,9319,5.344,1.261
Montenegro,2017,Gold,Import,75266,86.899,2.373
Netherlands,2017,Gold,Import,250982,229.338,1.299
Poland,2017,Gold,Import,863334,1055.521,1.975
Romania,2017,Gold,Import,144553,247.501,1.344
Russian Federation,2017,Gold,Import,4544927,4603.757,3.683
Slovakia,2017,Gold,Import,138351,160.731,
Slovenia,2017,Gold,Import,248739,262.833,1.432
Switzerland,2017,Gold,Import,87038,13.972,0.534
Switzerland,2017,Gold,Import,17726973,0.434,0.534
Thailand,2017,Gold,Import,798,0.5,0.665
United Arab Emirates,2017,Gold,Import,13987,9.278,1.967
TÃ¼rkiye,2017,Gold,Import,10246656,0.423,
TÃ¼rkiye,2017,Gold,Import,9969120,0.419,
North Macedonia,2017,Gold,Import,286703,173.576,
USA,2017,Gold,Import,27118,18.835,
Australia,2017,Gold,Import,1334,0.28,1.972
Belgium,2017,Gold,Import,707186,0.02,2.224
Germany,2017,Gold,Import,52936,0.002,1.711
Germany,2017,Gold,Import,47625,0.001,1.711
"China, Hong Kong SAR",2017,Gold,Import,81381,0.002,1.481
Italy,2017,Gold,Import,53131,0.002,1.326
Rep. of Korea,2017,Gold,Import,48269,0.001,
Portugal,2017,Gold,Import,162987,0.005,1.556
Switzerland,2017,Gold,Import,402325,0.013,0.534
USA,2017,Gold,Import,6513,4.98,
USA,2017,Gold,Import,8858,,
USA,2017,Gold,Import,98434,0.003,
USA,2017,Gold,Import,200050,0.01,
Australia,2017,Gold,Import,1769170,1022.541,1.972
Australia,2017,Gold,Import,394134,0.01,1.972
Austria,2017,Gold,Import,433,0.115,2.23
Bahrain,2017,Gold,Import,71568,65.387,1.387
Bangladesh,2017,Gold,Import,1745,1.31,5.611
Bangladesh,2017,Gold,Import,5,,5.611
Belgium,2017,Gold,Import,1134308,733.389,2.224
Belgium,2017,Gold,Import,743,,2.224
Bhutan,2017,Gold,Import,3266,11.132,5.529
Canada,2017,Gold,Import,1838017,1349.7,1.603
Canada,2017,Gold,Import,6791,0.007,1.603
Canada,2017,Gold,Import,27159,0.001,1.603
Sri Lanka,2017,Gold,Import,120,0.031,6.581
China,2017,Gold,Import,168500,0.004,1.558
Dem. Rep. of the Congo,2017,Gold,Import,88,0.05,35.787
Denmark,2017,Gold,Import,21,,1.058
Dominican Rep.,2017,Gold,Import,4815,0.002,3.28
Finland,2017,Gold,Import,2742,0.57,0.839
France,2017,Gold,Import,634,0.582,1.163
France,2017,Gold,Import,977,,1.163
Germany,2017,Gold,Import,133994,79.094,1.711
Germany,2017,Gold,Import,90812,0.003,1.711
Germany,2017,Gold,Import,2521,,1.711
"China, Hong Kong SAR",2017,Gold,Import,2959,1.778,1.481
"China, Hong Kong SAR",2017,Gold,Import,83009,0.002,1.481
Iceland,2017,Gold,Import,2103,0.002,1.761
Iraq,2017,Gold,Import,322483,540.36,0.099
Ireland,2017,Gold,Import,5068,3.562,0.251
Israel,2017,Gold,Import,1217,0.893,0.242
Italy,2017,Gold,Import,78041,56.08,1.326
Italy,2017,Gold,Import,102801,0.003,1.326
Italy,2017,Gold,Import,9321,0.002,1.326
Japan,2017,Gold,Import,63926,59.091,0.468
Japan,2017,Gold,Import,2603,,0.468
Rep. of Korea,2017,Gold,Import,22759,30.312,
Kuwait,2017,Gold,Import,7377,5.279,1.507
Luxembourg,2017,Gold,Import,119,0.044,2.111
Malaysia,2017,Gold,Import,31429,16.585,3.799
Maldives,2017,Gold,Import,3249,1.481,2.272
Mauritius,2017,Gold,Import,7920,2.248,3.675
Oman,2017,Gold,Import,34810,28.397,1.6
Oman,2017,Gold,Import,94,,1.6
Nepal,2017,Gold,Import,72563,249.452,4.454
Netherlands,2017,Gold,Import,9608,4.587,1.299
Netherlands,2017,Gold,Import,9046,0.001,1.299
New Zealand,2017,Gold,Import,593620,337.431,1.854
Norway,2017,Gold,Import,4820,3.467,1.875
Norway,2017,Gold,Import,203,0.001,1.875
Pakistan,2017,Gold,Import,35,0.018,4.148
Qatar,2017,Gold,Import,224630,312.324,0.395
Russian Federation,2017,Gold,Import,543466,1412.804,3.683
Saudi Arabia,2017,Gold,Import,43245,27.32,-0.852
Seychelles,2017,Gold,Import,2534,1.378,2.859
Singapore,2017,Gold,Import,20870,21.327,0.576
South Africa,2017,Gold,Import,22910,12.17,5.273
South Africa,2017,Gold,Import,8870,,5.273
Spain,2017,Gold,Import,9177,0.001,1.956
Sweden,2017,Gold,Import,2813,1.948,1.867
Sweden,2017,Gold,Import,5391,0.019,1.867
Switzerland,2017,Gold,Import,2553,0.376,0.534
Switzerland,2017,Gold,Import,272,,0.534
Switzerland,2017,Gold,Import,869,,0.534
Thailand,2017,Gold,Import,235,0.005,0.665
United Arab Emirates,2017,Gold,Import,587037,886.626,1.967
United Arab Emirates,2017,Gold,Import,2272466889,56.487,1.967
TÃ¼rkiye,2017,Gold,Import,41241,0.001,
United Kingdom,2017,Gold,Import,1367863,902.051,2.683
United Kingdom,2017,Gold,Import,2441,,2.683
United Kingdom,2017,Gold,Import,6727,0.001,2.683
United Rep. of Tanzania,2017,Gold,Import,1183,0.8,
USA,2017,Gold,Import,3548294,1810.642,
USA,2017,Gold,Import,50949,0.001,
Australia,2017,Gold,Import,7391,5.788,1.972
Australia,2017,Gold,Import,1515,,1.972
Australia,2017,Gold,Import,7218233,0.185,1.972
Austria,2017,Gold,Import,215672,0.004,2.23
Austria,2017,Gold,Import,16181,,2.23
Belgium,2017,Gold,Import,24244,0.001,2.224
Bhutan,2017,Gold,Import,465623,0.004,5.529
Bhutan,2017,Gold,Import,60455,0.002,5.529
Brazil,2017,Gold,Import,894392,0.037,3.446
Brunei Darussalam,2017,Gold,Import,92,0.022,-0.171
Brunei Darussalam,2017,Gold,Import,883080,0.023,-0.171
Cambodia,2017,Gold,Import,53,0.039,2.906
Cambodia,2017,Gold,Import,49987759,1.32,2.906
Canada,2017,Gold,Import,57392,0.002,1.603
Sri Lanka,2017,Gold,Import,33,0.025,6.581
Sri Lanka,2017,Gold,Import,228904949,5.566,6.581
China,2017,Gold,Import,4720127027,115.811,1.558
China,2017,Gold,Import,52595959,3.06,1.558
France,2017,Gold,Import,3225173,0.48,1.163
Germany,2017,Gold,Import,855,,1.711
Germany,2017,Gold,Import,24553599,0.594,1.711
"China, Hong Kong SAR",2017,Gold,Import,48039,9.867,1.481
"China, Hong Kong SAR",2017,Gold,Import,274990,0.007,1.481
"China, Hong Kong SAR",2017,Gold,Import,585346446,14.297,1.481
"China, Hong Kong SAR",2017,Gold,Import,4356620,0.207,1.481
Hungary,2017,Gold,Import,181668,0.016,2.408
Indonesia,2017,Gold,Import,228,0.001,3.809
Indonesia,2017,Gold,Import,196446990,4.971,3.809
Indonesia,2017,Gold,Import,1239778,0.141,3.809
Ireland,2017,Gold,Import,4937,0.001,0.251
Italy,2017,Gold,Import,4623139,0.114,1.326
Italy,2017,Gold,Import,3789,,1.326
Japan,2017,Gold,Import,4414897,0.109,0.468
Japan,2017,Gold,Import,244561,0.009,0.468
Rep. of Korea,2017,Gold,Import,982547,0.026,
Latvia,2017,Gold,Import,2916,,2.894
Malaysia,2017,Gold,Import,13575,4.974,3.799
Malaysia,2017,Gold,Import,284832052,7.028,3.799
Malaysia,2017,Gold,Import,107697837,2.682,3.799
Maldives,2017,Gold,Import,5699,2.748,2.272
Malta,2017,Gold,Import,1457249,0.256,1.261
"Other Asia, nes",2017,Gold,Import,1206188,0.026,
"Other Asia, nes",2017,Gold,Import,169815263,4.023,
Netherlands,2017,Gold,Import,6409,0.001,1.299
Norway,2017,Gold,Import,6316,0.005,1.875
Russian Federation,2017,Gold,Import,2254,,3.683
India,2017,Gold,Import,140555334,3.467,3.602
India,2017,Gold,Import,514467,0.02,3.602
Sweden,2017,Gold,Import,21212,,1.867
Sweden,2017,Gold,Import,123290,0.004,1.867
Switzerland,2017,Gold,Import,424693661,10.782,0.534
Switzerland,2017,Gold,Import,261130,0.007,0.534
Thailand,2017,Gold,Import,141918,0.005,0.665
Thailand,2017,Gold,Import,619989086,15.371,0.665
Thailand,2017,Gold,Import,27609845,2.188,0.665
United Kingdom,2017,Gold,Import,195221,0.008,2.683
USA,2017,Gold,Import,33202,0.001,
USA,2017,Gold,Import,8080431,0.263,
Austria,2017,Gold,Import,1404,1.201,2.23
Austria,2017,Gold,Import,9224137,0.195,2.23
Austria,2017,Gold,Import,3957574,0.251,2.23
Belgium,2017,Gold,Import,46604,90.876,2.224
Belgium,2017,Gold,Import,3549924,0.082,2.224
Croatia,2017,Gold,Import,3815,0.001,1.129
Cyprus,2017,Gold,Import,58984,0.002,0.681
Cyprus,2017,Gold,Import,25195,0.011,0.681
Czechia,2017,Gold,Import,341382,416.588,2.451
Czechia,2017,Gold,Import,4262981,0.106,2.451
Czechia,2017,Gold,Import,1909000,0.117,2.451
Finland,2017,Gold,Import,33820,62.37,0.839
Germany,2017,Gold,Import,67675594,1.813,1.711
Germany,2017,Gold,Import,57082862,1.725,1.711
Hungary,2017,Gold,Import,238747,435.178,2.408
Hungary,2017,Gold,Import,134653,0.005,2.408
Hungary,2017,Gold,Import,820434,0.068,2.408
Italy,2017,Gold,Import,1403864,0.052,1.326
Italy,2017,Gold,Import,2507637,0.042,1.326
Netherlands,2017,Gold,Import,5801,1.463,1.299
Netherlands,2017,Gold,Import,26,,1.299
Netherlands,2017,Gold,Import,2,,1.299
Netherlands,2017,Gold,Import,7580,,1.299
Norway,2017,Gold,Import,18849,23.31,1.875
Poland,2017,Gold,Import,304,,1.975
Spain,2017,Gold,Import,1708816,0.042,1.956
Spain,2017,Gold,Import,1708816,0.035,1.956
Sweden,2017,Gold,Import,1030383,1019.0,1.867
Switzerland,2017,Gold,Import,16548,0.001,0.534
United Arab Emirates,2017,Gold,Import,19557214,0.564,1.967
United Kingdom,2017,Gold,Import,2310,0.605,2.683
United Kingdom,2017,Gold,Import,1299,0.001,2.683
USA,2017,Gold,Import,18682,9.72,
Australia,2017,Gold,Import,467019,277.496,1.972
Austria,2017,Gold,Import,9361,3.231,2.23
Belgium,2017,Gold,Import,213874,267.182,2.224
Bermuda,2017,Gold,Import,3936,,
Canada,2017,Gold,Import,264814,172.382,1.603
Canada,2017,Gold,Import,417,,1.603
Czechia,2017,Gold,Import,28376,20.19,2.451
Denmark,2017,Gold,Import,13675,8.35,1.058
Finland,2017,Gold,Import,7882,2.366,0.839
France,2017,Gold,Import,919452,538.887,1.163
Germany,2017,Gold,Import,613172,422.65,1.711
"China, Hong Kong SAR",2017,Gold,Import,3696,3.0,1.481
Iceland,2017,Gold,Import,19474,4.2,1.761
Israel,2017,Gold,Import,16000,7.194,0.242
Japan,2017,Gold,Import,6289600,2900.39,0.468
Japan,2017,Gold,Import,1315999,0.029,0.468
Rep. of Korea,2017,Gold,Import,12849587,16292.42,
Rep. of Korea,2017,Gold,Import,323461,0.019,
Luxembourg,2017,Gold,Import,2325,0.206,2.111
Malaysia,2017,Gold,Import,16590,52.771,3.799
Malaysia,2017,Gold,Import,445184,0.011,3.799
"Other Asia, nes",2017,Gold,Import,628312,1314.241,
Montenegro,2017,Gold,Import,35,0.005,2.373
Netherlands,2017,Gold,Import,253988,216.682,1.299
New Zealand,2017,Gold,Import,510223,203.985,1.854
Norway,2017,Gold,Import,12788,4.478,1.875
Poland,2017,Gold,Import,267982,186.13,1.975
Slovakia,2017,Gold,Import,143,0.05,
Slovenia,2017,Gold,Import,27,0.01,1.432
South Africa,2017,Gold,Import,355925,0.078,5.273
Sweden,2017,Gold,Import,3867,2.0,1.867
Switzerland,2017,Gold,Import,9312,3.031,0.534
Thailand,2017,Gold,Import,1930,0.42,0.665
Thailand,2017,Gold,Import,161,,0.665
United Kingdom,2017,Gold,Import,12971,6.14,2.683
USA,2017,Gold,Import,535976,295.174,
Austria,2017,Gold,Import,1475,0.638,2.23
Austria,2017,Gold,Import,1268678,0.019,2.23
Austria,2017,Gold,Import,2027318,0.052,2.23
Belgium,2017,Gold,Import,43,0.011,2.224
Bosnia Herzegovina,2017,Gold,Import,2294,2.335,0.81
Bosnia Herzegovina,2017,Gold,Import,88040,0.002,0.81
Bosnia Herzegovina,2017,Gold,Import,214,,0.81
Bulgaria,2017,Gold,Import,13710,,1.188
Bulgaria,2017,Gold,Import,558,,1.188
Croatia,2017,Gold,Import,208503,175.404,1.129
Croatia,2017,Gold,Import,1789362,0.027,1.129
Croatia,2017,Gold,Import,3279997,0.084,1.129
Cyprus,2017,Gold,Import,1670,0.8,0.681
Czechia,2017,Gold,Import,42520,6.902,2.451
Czechia,2017,Gold,Import,20123,,2.451
Czechia,2017,Gold,Import,3531,,2.451
Denmark,2017,Gold,Import,1162,,1.058
Denmark,2017,Gold,Import,5095,0.024,1.058
Estonia,2017,Gold,Import,178857,0.005,3.651
Finland,2017,Gold,Import,18,,0.839
France,2017,Gold,Import,72239,0.002,1.163
Germany,2017,Gold,Import,1670,,1.711
Germany,2017,Gold,Import,2545250,0.056,1.711
Germany,2017,Gold,Import,1306275,0.034,1.711
Hungary,2017,Gold,Import,222,,2.408
Italy,2017,Gold,Import,1950902,415.829,1.326
Italy,2017,Gold,Import,15879178,0.379,1.326
Italy,2017,Gold,Import,1622214,0.061,1.326
Montenegro,2017,Gold,Import,7857,,2.373
Netherlands,2017,Gold,Import,14169,3.548,1.299
Netherlands,2017,Gold,Import,7121,0.007,1.299
Netherlands,2017,Gold,Import,650,,1.299
Poland,2017,Gold,Import,170158,0.004,1.975
Poland,2017,Gold,Import,20418,0.021,1.975
Romania,2017,Gold,Import,38514,19.073,1.344
Romania,2017,Gold,Import,11651,,1.344
Serbia,2017,Gold,Import,190103,0.005,3.131
Serbia,2017,Gold,Import,1468,,3.131
Slovakia,2017,Gold,Import,17087,2.733,
Spain,2017,Gold,Import,382341,63.595,1.956
Switzerland,2017,Gold,Import,287442,0.007,0.534
Switzerland,2017,Gold,Import,818,,0.534
North Macedonia,2017,Gold,Import,82,,
North Macedonia,2017,Gold,Import,1434,,
North Macedonia,2017,Gold,Import,64,,
USA,2017,Gold,Import,8036,,
Angola,2017,Gold,Import,67387,27.566,29.844
Australia,2017,Gold,Import,75,0.017,1.972
Australia,2017,Gold,Import,179553,0.005,1.972
Australia,2017,Gold,Import,468683,0.012,1.972
Austria,2017,Gold,Import,67,0.037,2.23
Austria,2017,Gold,Import,468416,0.01,2.23
Bahrain,2017,Gold,Import,1449,0.18,1.387
Belgium,2017,Gold,Import,5681713,0.188,2.224
Botswana,2017,Gold,Import,478105,374.752,3.296
Brazil,2017,Gold,Import,901,,3.446
Canada,2017,Gold,Import,28,0.034,1.603
Canada,2017,Gold,Import,123924563,3.225,1.603
Canada,2017,Gold,Import,3096,,1.603
China,2017,Gold,Import,5066424651,122.739,1.558
China,2017,Gold,Import,2008241430,45.388,1.558
Dem. Rep. of the Congo,2017,Gold,Import,29386,23.041,35.787
Czechia,2017,Gold,Import,44732,0.001,2.451
Czechia,2017,Gold,Import,5245,0.003,2.451
Ethiopia,2017,Gold,Import,3947,1.878,10.687
France,2017,Gold,Import,82356,13.2,1.163
France,2017,Gold,Import,719,,1.163
Germany,2017,Gold,Import,69585,15.56,1.711
Germany,2017,Gold,Import,9060023,0.228,1.711
Ghana,2017,Gold,Import,16976,4.307,12.372
"China, Hong Kong SAR",2017,Gold,Import,1763021255,44.354,1.481
Indonesia,2017,Gold,Import,5,0.001,3.809
Indonesia,2017,Gold,Import,19150656,0.468,3.809
Ireland,2017,Gold,Import,72760,0.002,0.251
Ireland,2017,Gold,Import,331024,0.013,0.251
Israel,2017,Gold,Import,1000,0.3,0.242
Italy,2017,Gold,Import,136813036,3.981,1.326
Japan,2017,Gold,Import,44186,0.001,0.468
Lesotho,2017,Gold,Import,178101,178.244,4.459
Lesotho,2017,Gold,Import,12,,4.459
"China, Macao SAR",2017,Gold,Import,243167,0.006,1.227
Malawi,2017,Gold,Import,3981,1.988,11.541
Maldives,2017,Gold,Import,9,0.001,2.272
Mauritius,2017,Gold,Import,8371,3.632,3.675
Mauritius,2017,Gold,Import,4919438,0.13,3.675
Mauritius,2017,Gold,Import,806,0.001,3.675
"Other Asia, nes",2017,Gold,Import,1299465,0.032,
Mozambique,2017,Gold,Import,44725,26.589,15.113
Namibia,2017,Gold,Import,1435049,950.906,6.147
Namibia,2017,Gold,Import,315,,6.147
Namibia,2017,Gold,Import,485,0.001,6.147
Namibia,2017,Gold,Import,16183,0.025,6.147
Netherlands,2017,Gold,Import,2750,0.4,1.299
Nigeria,2017,Gold,Import,896,0.455,16.502
Norway,2017,Gold,Import,1732785,0.056,1.875
Pakistan,2017,Gold,Import,1,0.001,4.148
Poland,2017,Gold,Import,7726,2.086,1.975
Poland,2017,Gold,Import,2392881,0.061,1.975
Rwanda,2017,Gold,Import,2554,0.832,4.837
Saint Helena,2017,Gold,Import,375,0.256,5.1
Sao Tome and Principe,2017,Gold,Import,15,0.004,
Seychelles,2017,Gold,Import,420,0.12,2.859
Sierra Leone,2017,Gold,Import,4735,2.403,18.22
India,2017,Gold,Import,1871921959,45.992,3.602
Zimbabwe,2017,Gold,Import,3158,1.921,0.907
Spain,2017,Gold,Import,4320,0.742,1.956
Eswatini,2017,Gold,Import,16836,9.132,
Eswatini,2017,Gold,Import,205,,
Eswatini,2017,Gold,Import,68,,
Sweden,2017,Gold,Import,13243,0.001,1.867
Switzerland,2017,Gold,Import,12,,0.534
Switzerland,2017,Gold,Import,798658279,22.799,0.534
Switzerland,2017,Gold,Import,177670,0.004,0.534
Thailand,2017,Gold,Import,90566255,2.253,0.665
United Arab Emirates,2017,Gold,Import,4126,1.218,1.967
TÃ¼rkiye,2017,Gold,Import,604184143,14.797,
Uganda,2017,Gold,Import,888,0.49,5.629
United Kingdom,2017,Gold,Import,3236,2.354,2.683
United Kingdom,2017,Gold,Import,4260391676,104.501,2.683
United Rep. of Tanzania,2017,Gold,Import,1370,2.022,
USA,2017,Gold,Import,45423602,1.022,
USA,2017,Gold,Import,118970,0.003,
Zambia,2017,Gold,Import,30076,22.445,6.577
Zambia,2017,Gold,Import,15390,,6.577
Bahrain,2017,Gold,Import,1217,0.18,1.387
TÃ¼rkiye,2017,Gold,Import,515471,0.013,
Albania,2017,Gold,Import,339,0.001,1.987
Algeria,2017,Gold,Import,30196,35.833,5.591
Algeria,2017,Gold,Import,11157619,0.28,5.591
Andorra,2017,Gold,Import,1017827,550.834,
Andorra,2017,Gold,Import,16407408,0.398,
Azerbaijan,2017,Gold,Import,6,0.009,12.844
Argentina,2017,Gold,Import,262224,273.1,25.675
Australia,2017,Gold,Import,416797,331.444,1.972
Austria,2017,Gold,Import,1070824,838.553,2.23
Austria,2017,Gold,Import,1123,,2.23
Austria,2017,Gold,Import,7421,,2.23
