country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
Sweden,2017,Gold,Import,117,,1.867
Switzerland,2017,Gold,Import,1023454950,41.836,0.534
Switzerland,2017,Gold,Import,1226522,0.037,0.534
Thailand,2017,Gold,Import,21305,10.07,0.665
Thailand,2017,Gold,Import,34,,0.665
Thailand,2017,Gold,Import,1355489999,31.405,0.665
Thailand,2017,Gold,Import,722034694,18.018,0.665
United Arab Emirates,2017,Gold,Import,8871,2.216,1.967
United Arab Emirates,2017,Gold,Import,3987,,1.967
United Arab Emirates,2017,Gold,Import,1333117,0.034,1.967
United Arab Emirates,2017,Gold,Import,5262798,0.263,1.967
TÃ¼rkiye,2017,Gold,Import,1570867714,38.389,
TÃ¼rkiye,2017,Gold,Import,687411693,17.1,
Ukraine,2017,Gold,Import,862791,0.022,14.443
Egypt,2017,Gold,Import,2296,,23.537
United Kingdom,2017,Gold,Import,282522,49.132,2.683
United Kingdom,2017,Gold,Import,23538,0.003,2.683
United Kingdom,2017,Gold,Import,2146684228,53.2,2.683
USA,2017,Gold,Import,3699,,
USA,2017,Gold,Import,7358917,0.142,
USA,2017,Gold,Import,18385329,0.448,
Burkina Faso,2017,Gold,Import,7739,0.002,0.351
Albania,2017,Gold,Import,20437,,1.987
Australia,2017,Gold,Import,7398,,1.972
Belgium,2017,Gold,Import,3924557,4512.03,2.224
Belgium,2017,Gold,Import,824430,0.035,2.224
Belgium,2017,Gold,Import,2714413,0.09,2.224
Bosnia Herzegovina,2017,Gold,Import,222,0.081,0.81
Bulgaria,2017,Gold,Import,119743,194.429,1.188
Bulgaria,2017,Gold,Import,236671,0.006,1.188
Canada,2017,Gold,Import,2159,3.12,1.603
Canada,2017,Gold,Import,7098,,1.603
Canada,2017,Gold,Import,23452,0.001,1.603
China,2017,Gold,Import,10,0.005,1.558
China,2017,Gold,Import,50000,0.001,1.558
China,2017,Gold,Import,16425,,1.558
Croatia,2017,Gold,Import,71478,84.94,1.129
Croatia,2017,Gold,Import,2428895,0.064,1.129
Croatia,2017,Gold,Import,6015009,0.151,1.129
Cyprus,2017,Gold,Import,40,0.084,0.681
Cyprus,2017,Gold,Import,25899,0.001,0.681
Czechia,2017,Gold,Import,176459,466.517,2.451
Czechia,2017,Gold,Import,88,,2.451
Czechia,2017,Gold,Import,31877108,0.388,2.451
Czechia,2017,Gold,Import,33897362,0.874,2.451
Denmark,2017,Gold,Import,445020,410.504,1.058
Denmark,2017,Gold,Import,5048,0.001,1.058
Estonia,2017,Gold,Import,282653,0.007,3.651
Finland,2017,Gold,Import,12,,0.839
France,2017,Gold,Import,2622775,1417.993,1.163
France,2017,Gold,Import,14746,0.001,1.163
France,2017,Gold,Import,17364090,0.415,1.163
Germany,2017,Gold,Import,4916617,7936.262,1.711
Germany,2017,Gold,Import,152,,1.711
Germany,2017,Gold,Import,137480038,3.385,1.711
Germany,2017,Gold,Import,115750586,2.751,1.711
Greece,2017,Gold,Import,8113,1.418,1.138
Greece,2017,Gold,Import,1263596,0.041,1.138
Greece,2017,Gold,Import,819,,1.138
"China, Hong Kong SAR",2017,Gold,Import,309,0.027,1.481
Hungary,2017,Gold,Import,1471997,3119.221,2.408
Hungary,2017,Gold,Import,4499021,0.129,2.408
Hungary,2017,Gold,Import,10561968,0.198,2.408
Indonesia,2017,Gold,Import,11,0.004,3.809
Iran,2017,Gold,Import,1346,,9.641
Iran,2017,Gold,Import,1968,,9.641
Ireland,2017,Gold,Import,525,0.297,0.251
Israel,2017,Gold,Import,158000,0.004,0.242
Italy,2017,Gold,Import,960652,622.473,1.326
Italy,2017,Gold,Import,325,0.004,1.326
Italy,2017,Gold,Import,795860,0.041,1.326
Italy,2017,Gold,Import,2876185,0.142,1.326
Japan,2017,Gold,Import,28,0.004,0.468
Japan,2017,Gold,Import,4270,,0.468
Japan,2017,Gold,Import,2895,,0.468
Rep. of Korea,2017,Gold,Import,45,,
Lithuania,2017,Gold,Import,1994,0.404,3.718
Lithuania,2017,Gold,Import,2366571,0.053,3.718
Luxembourg,2017,Gold,Import,1815,,2.111
Malaysia,2017,Gold,Import,95,,3.799
Malaysia,2017,Gold,Import,3906,,3.799
Malta,2017,Gold,Import,419,,1.261
Malta,2017,Gold,Import,27149,0.001,1.261
Rep. of Moldova,2017,Gold,Import,42422,0.001,
Netherlands,2017,Gold,Import,1397425,998.14,1.299
Netherlands,2017,Gold,Import,186,,1.299
Netherlands,2017,Gold,Import,648,,1.299
Netherlands,2017,Gold,Import,89243,0.007,1.299
New Zealand,2017,Gold,Import,31096,19.769,1.854
Norway,2017,Gold,Import,2590450,0.092,1.875
Poland,2017,Gold,Import,791010,444.623,1.975
Poland,2017,Gold,Import,7162668,0.106,1.975
Poland,2017,Gold,Import,85738969,1.842,1.975
Portugal,2017,Gold,Import,80,,1.556
Portugal,2017,Gold,Import,5558477,0.134,1.556
Romania,2017,Gold,Import,154566,147.795,1.344
Romania,2017,Gold,Import,2761096,0.048,1.344
Romania,2017,Gold,Import,5877371,0.164,1.344
Serbia,2017,Gold,Import,105390,203.818,3.131
Serbia,2017,Gold,Import,1484,,3.131
Serbia,2017,Gold,Import,49588,0.001,3.131
India,2017,Gold,Import,1767,,3.602
Singapore,2017,Gold,Import,6437764,0.132,0.576
Slovakia,2017,Gold,Import,467841,512.804,
Slovakia,2017,Gold,Import,186,,
Slovakia,2017,Gold,Import,7222583,0.099,
Slovakia,2017,Gold,Import,5029445,0.193,
